Sites,Plots,Lng,Lat,Alt,Temp,RH,pH,Cond,OC,TN,TP,MTC,MTN,MTP,Chl_a,Chl_b,Chl_a:b,Chl_a+b,MDA,TSS,POD,SOD,CAT,Richness,Shannon,Simpson,NMDS1,PC1_diversity,PC1_geospatial,PC1_meteorological,PC1_Water,PC1_substrate,PC1_moss,PC1_photosynthesis,PC1_osmotic,PC1_enzyme
C,5,101.706749,29.762548,4151,57.8,48.4,7.15,601,6.423904988,1.420607746,0.90034198,325.3647368,14.8996063,4.775244957,3.50713,1.9501,1.798435978,5.45723,20.158,32.058,2840,218.4278351,13.9463,7,1.602348832,0.7582,0.209903648,1.32754241,0.496510057,0.202623197,-0.390075335,-1.400812109,-0.401479331,0.165598998,0.103361763,0.292634058
D,1,101.692178,29.783436,3974,65.8,32,7.39,348,9.04848619,2.684767949,1.352468332,321.6346512,13.82466281,4.7208725,1.455045,2.30099,0.632356073,3.756035,15.093,36.387,3620,206.4676617,18.0403,5,0.993613393,0.5112,0.304714815,-1.398752224,-1.255841919,1.702454722,0.474840457,1.699082345,-0.913976726,-2.200382853,1.614863088,1.283074601
D,2,101.691156,29.783917,3955,65.5,31.8,7.57,347,6.039213993,1.313463143,0.994375503,335.4582266,15.80883766,4.868697813,1.125945,3.18907,0.353063746,4.315015,20.382,35.568,3940,307.6298701,17.7733,5,1.342241438,0.7002,0.06479605,0.078131472,-1.362880468,1.688925361,0.823437351,-1.432643522,0.218342708,-3.425935343,0.719163759,2.406686269
D,3,101.690419,29.784355,3956,64.9,31.8,7.97,334,5.206383364,1.543148885,0.808993925,353.0158128,16.27906977,5.214536801,1.01286,2.4968,0.405663249,3.50966,16.449,43.173,3780,262.6041667,18.5903,6,0.80136008,0.3504,0.780086056,-2.206437266,-1.403603644,1.640902556,1.615232493,-1.914385126,1.121727097,-2.80942995,2.675471192,2.000384962
D,4,101.6892,29.785058,3926,64.7,37.4,7.64,340,7.327176126,1.857140588,0.961035185,345.3043925,15.43414634,5.303143633,0.924025,2.89103,0.319617922,3.815055,17.997,38.493,3840,251.4522822,20.6213,8,1.693870239,0.7498,0.625210881,1.715595112,-1.555442115,1.331397775,0.969513686,-0.539241292,0.784133614,-3.293469262,1.594404388,2.23685738
D,5,101.688709,29.785625,3922,64.5,38.2,7.96,294,5.451545064,1.456815642,0.855727554,397.4454106,18.29076621,5.7155,1.195225,2.13383,0.560131313,3.329055,20.253,34.866,4620,294.0251572,20.3543,4,0.94495758,0.5088,-0.847541803,-1.75657652,-1.604530133,1.273462005,1.659549547,-1.807242382,3.255331549,-2.253147858,0.607858119,3.091531405
E,1,101.676663,29.789865,3838,61,62.4,7.36,251,7.481933843,1.895608885,1.040464853,291.8840887,12.42044359,4.171830739,3.412565,1.51391,2.254139942,4.926475,13.674,30.771,3200,121.7592593,10.7423,7,1.178347323,0.5178,0.52072755,-0.515504805,-2.440610569,-0.27499812,0.571224367,-0.27547401,-2.614849153,0.795863374,0.778904798,-0.882588993
E,2,101.675841,29.790027,3819,61.7,62.4,7.64,285,6.985758135,1.611180321,0.949185439,317.329703,13.80629302,4.435776329,3.33996,1.20108,2.780797282,4.54104,12.513,31.824,3900,239.0710383,13.3233,7,1.443684348,0.6626,0.539257642,0.61277826,-2.529034277,-0.218971513,1.056957115,-0.916875336,-1.337754269,1.366261685,1.136567184,1.060867011
E,3,101.675351,29.790388,3813,59.2,70.5,7.67,253,8.072215635,1.820923815,1.341605596,346.6102439,15.74833174,5.047319553,3.48129,1.6529,2.106170972,5.13419,18.865,35.802,3800,200,10.3863,4,0.969823088,0.5016,0.524174151,-1.743199913,-2.576434501,-0.843589241,1.165667795,0.51843031,0.617309458,0.618252421,0.975902497,0.185232135
E,4,101.674667,29.790719,3809,58.4,72,7.96,212,5.936377886,1.434049226,0.86209855,327.4881517,14.9507874,4.753212963,3.107675,2.19589,1.41522344,5.303565,21.058,32.643,3100,159.7222222,16.5273,6,1.39455525,0.7024,0.780394646,0.441744306,-2.624918072,-0.986234964,1.78991975,-1.64358682,-0.369587933,-0.558489312,0.084538124,0.284602711
E,5,101.674034,29.790703,3797,57,76.1,7.67,285,7.98287604,2.326970541,1.234350793,336.2973709,15.20833333,4.478916748,3.165575,2.06501,1.532958678,5.230585,14.448,29.952,4500,196.8599034,9.4963,4,0.679991569,0.3416,0.787860702,-2.983790274,-2.681121323,-1.31317004,1.114791617,0.729190451,-0.437215033,-0.325264965,0.518885221,0.46105656
